'SV004619','NS038', 'HP030', 1, 2023, 'CTTT'
'SV003330','NS038', 'HP030', 1, 2023, 'CTTT'
'SV002249','NS038', 'HP030', 1, 2023, 'CTTT'
'SV001810','NS038', 'HP030', 1, 2023, 'CTTT'
'SV003313','NS038', 'HP030', 1, 2023, 'CTTT'
'SV006213','NS038', 'HP030', 1, 2023, 'CTTT'
'SV004200','NS038', 'HP030', 1, 2023, 'CTTT'
'SV007504','NS038', 'HP030', 1, 2023, 'CTTT'
'SV003760','NS038', 'HP030', 1, 2023, 'CTTT'
'SV002407','NS038', 'HP030', 1, 2023, 'CTTT'
'SV006279','NS038', 'HP030', 1, 2023, 'CTTT'
'SV005525','NS038', 'HP030', 1, 2023, 'CTTT'
'SV007139','NS038', 'HP030', 1, 2023, 'CTTT'
'SV007002','NS038', 'HP030', 1, 2023, 'CTTT'
'SV000023','NS038', 'HP030', 1, 2023, 'CTTT'
'SV006554','NS038', 'HP030', 1, 2023, 'CTTT'
'SV002726','NS038', 'HP030', 1, 2023, 'CTTT'
'SV005365','NS038', 'HP030', 1, 2023, 'CTTT'
'SV001990','NS038', 'HP030', 1, 2023, 'CTTT'
'SV005676','NS038', 'HP030', 1, 2023, 'CTTT'
'SV005965','NS038', 'HP030', 1, 2023, 'CTTT'
'SV000705','NS038', 'HP030', 1, 2023, 'CTTT'
'SV001061','NS038', 'HP030', 1, 2023, 'CTTT'
'SV002158','NS038', 'HP030', 1, 2023, 'CTTT'
'SV001575','NS038', 'HP030', 1, 2023, 'CTTT'
'SV004317','NS038', 'HP030', 1, 2023, 'CTTT'
'SV000242','NS038', 'HP030', 1, 2023, 'CTTT'
'SV002196','NS038', 'HP030', 1, 2023, 'CTTT'
'SV002938','NS038', 'HP030', 1, 2023, 'CTTT'
'SV007826','NS038', 'HP030', 1, 2023, 'CTTT'
'SV006594','NS039', 'HP057', 1, 2025, 'CLC'
'SV006446','NS039', 'HP057', 1, 2025, 'CLC'
'SV001911','NS039', 'HP057', 1, 2025, 'CLC'
'SV007816','NS039', 'HP057', 1, 2025, 'CLC'
'SV007196','NS039', 'HP057', 1, 2025, 'CLC'
'SV007906','NS039', 'HP057', 1, 2025, 'CLC'
'SV006230','NS039', 'HP057', 1, 2025, 'CLC'
'SV001444','NS039', 'HP057', 1, 2025, 'CLC'
'SV004458','NS039', 'HP057', 1, 2025, 'CLC'
'SV002873','NS039', 'HP057', 1, 2025, 'CLC'
'SV005363','NS039', 'HP057', 1, 2025, 'CLC'
'SV007541','NS039', 'HP057', 1, 2025, 'CLC'
'SV007702','NS039', 'HP057', 1, 2025, 'CLC'
'SV002129','NS039', 'HP057', 1, 2025, 'CLC'
'SV001002','NS039', 'HP057', 1, 2025, 'CLC'
'SV002977','NS039', 'HP057', 1, 2025, 'CLC'
'SV001382','NS039', 'HP057', 1, 2025, 'CLC'
'SV001994','NS039', 'HP057', 1, 2025, 'CLC'
'SV000979','NS039', 'HP057', 1, 2025, 'CLC'
'SV004582','NS039', 'HP057', 1, 2025, 'CLC'
'SV004869','NS039', 'HP057', 1, 2025, 'CLC'
'SV004636','NS039', 'HP057', 1, 2025, 'CLC'
'SV007332','NS039', 'HP057', 1, 2025, 'CLC'
'SV005843','NS039', 'HP057', 1, 2025, 'CLC'
'SV005957','NS039', 'HP057', 1, 2025, 'CLC'
'SV005016','NS039', 'HP057', 1, 2025, 'CLC'
